<DOC1017>	2003-09-2222:10:55新浪网友发表评论　IP:219.153.137,大众途安MPV预计11月下线比马自大MPV大一些样子更漂亮基本型价格17万左右配置很好！！！</DOC1017>
<DOC1087>	旁边的别克凯越和荣威750,都比我的小明坚硬。</DOC1087>
<DOC1099>	警惕日寇与汉奸勾结对中国的经济侵略大家已经看到有关世界汽车方面的报道，丰田、本田等公司汽车销量略低于通用、大众等公司，但其利润却高于通用、大众等公司近十倍，达100多亿。</DOC1099>
<DOC1114>	安全、操控性不见得比富康、嘉年华好！</DOC1114>
<DOC1170>	是因为它配置不如东方之子，但价钱比东方之子高！</DOC1170>
<DOC1218>	和速跑比在0-60公里加速要快但80-120时加速性能不如速跑。</DOC1218>
<DOC1222>	华利与夏利比较：1、车内空间大，有点像MPV。2、驾驶视线好些。</DOC1222>
<DOC1229>	我虽然也不欣赏AUDI，但论档次，A6确实是与BENZE和BMW5在同一水平上。</DOC1229>
<DOC1239>	但就常用零配件整体而言，凯越的费用比福美来和伊兰特略高。</DOC1239>
<DOC1241>	骏捷和F3的配置远远高于A3。</DOC1241>
<DOC1295>	在美国，佳美一直有中级家庭轿车之王的美誉，除了动力性稍逊外，在乘坐舒适，车内噪音等方面都超过了最大的竞争对手雅阁。</DOC1295>
<DOC1309>	论外观，抵不上A4，A4外观更漂亮、运动型更突出，配置还全，性能也不错。</DOC1309>
<DOC1314>	奥迪a4呢就是折中一下发动机不如宝马质量不如奔驰。</DOC1314>
<DOC1415>	外型，动力，内饰，油耗，车型都比捷达要优秀。</DOC1415>
<DOC1429>	一汽,上汽,二汽的产品质量肯定比同价位甚至略高价位的的韩国货要好!</DOC1429>
<DOC1431>	个人感觉内部空间中控材质座椅都完胜科鲁兹，外形也比较满意，试驾了一下音噪控制的特别好，操控基本满足需要。</DOC1431>
<DOC1476>	6、外观和内饰：新宝来外观不如朗逸大气，内饰也不够时尚。</DOC1476>
<DOC1490>	车不够结实，关门时的声音和普通十几万的车差不多，和奥迪、君威和没得比的。</DOC1490>
<DOC1493>	它的安全配置较广丰凯美瑞，广州本田高出几个档次。</DOC1493>
<DOC1499>	【原贴】新浪网友211.150.220.*2004-09-1913:22:45花冠的噪音和减震比宝来强，花冠比广本新雅阁差一点，马自达6比马自达323强，马自达6与宝来噪音、减震差不多。</DOC1499>
<DOC1558>	优点：内部空间大，驾驶和乘坐均比轿车舒适；</DOC1558>
<DOC1574>	隔音动力比Lancer、海马3、乐骋、飞度都好些。</DOC1574>
<DOC1611>	动力方面,还没死踩油门,不敢哦,虽然没磨合期，但还是悠着点，过了二千公里再试试动力吧,但换挡平顺性,还是奔驰C级的好,应该属于挺多的吧,也没跟上奥迪的CVVT变速箱...</DOC1611>
<DOC1618>	就算用奇瑞跟一汽这个品牌相比较不太合理，但从品牌上讲幸福使者绝对是应该比QQ稍微高上那么一点点，服务上其实两个品牌都不怎么样，幸福使者目前跟夏利都是相同的维修站点，夏利维修站的服务态度差相信大家也都有所耳闻，奇瑞的特约维修站态度相对夏利还算好一点，幸福使者的优势是服务网点多，只要是能修夏利的地方都能修幸福使者，全国特约维修站和维修中心、配件库加在一起有288个之多，基本上能平均每个省有10来个特约维修站，奇瑞的维修保养可就没有这么方便了，特约维修站数量少不说，大部分还是刚刚建立的，维修水平还不太稳定，从这</DOC1618>
<DOC1641>	我对plm的内部空间特别看好(这一点比宝来好），关于隔音我想plm与宝来同属经济型车在这方面不可能好到那去------------PLm三排座空间特别看好？</DOC1641>
<DOC1679>	在零配件及维修工时方面，像三滤、前后大灯、点火线圈、车门体等常用零配件方面，凯越的费用明显比福美来和伊兰特高。</DOC1679>
<DOC1697>	要说外观，F3和吉利甚至力帆都比奇瑞的A5强。</DOC1697>
<DOC1753>	大家不要争执了,客观地讲,奥迪与双B还有VOLVO属于相同档次,只是奥迪在品牌上略逊于双B!</DOC1753>
<DOC1784>	奥迪是高级品牌，这几年的确发展得很快，但影响力、形象、新车型开发等落后双B，每款新车推出都落后双B好长一段时间。</DOC1784>
<DOC1791>	丰田8A的发动机，噪音，油耗都比7101要底。</DOC1791>
<DOC1869>	吉利内饰做的虽有进步但别忘了夏历的性能还是比吉利车要好,油耗也比吉利底.</DOC1869>
<DOC1921>	捷达和桑塔纳这两款车型从价格上看，都在7～8万这个价格区间，从技术上看，两款车技术相当，性能相当，空间相当，都没有自动档。</DOC1921>
<DOC1923>	二是两车操控性、舒适性、安全性并无大的差别，甚至1.8T的提速感觉更好。</DOC1923>
<DOC1927>	感觉中华乘坐感跟君威有一拼、比蓝鸟强多了！</DOC1927>
<DOC1941>	缺点：价格偏高；做工粗糙；噪音大；极速低，柴油车发动机特点是高转速时扭力不大；主动安全性差；老五十铃发动机加了个增压器，性能及油耗不如德系的柴油机。</DOC1941>
<DOC1948>	外形是卖点从时间上来讲，幸福使者的外形或者说款式，也许是国内所有这些类型的车里面最新的。</DOC1948>
<DOC1965>	晶锐空间比嘉年华大些内饰也好，就是这种外观有点。。。</DOC1965>
